,precision,recall,f1-score,support
Fall,0.7306791569086651,0.7139588100686499,0.7222222222222222,437.0
Spring,0.7342657342657343,0.7126696832579186,0.7233065442020666,442.0
Summer,0.8509174311926605,0.8412698412698413,0.8460661345496009,441.0
Winter,0.8344086021505376,0.8878718535469108,0.8603104212860311,437.0
accuracy,0.7888446215139442,0.7888446215139442,0.7888446215139442,0.7888446215139442
macro avg,0.7875677311293994,0.7889425470358302,0.7879763305649802,1757.0
weighted avg,0.7875602688732437,0.7888446215139442,0.7879245435895244,1757.0
