,precision,recall,f1-score,support
Fall,0.7113163972286374,0.7048054919908466,0.7080459770114943,437.0
Spring,0.7566137566137566,0.6470588235294118,0.697560975609756,442.0
Summer,0.78,0.8843537414965986,0.8289054197662061,441.0
Winter,0.8452914798206278,0.8627002288329519,0.853907134767837,437.0
accuracy,0.7746158224245874,0.7746158224245874,0.7746158224245874,0.7746158224245874
macro avg,0.7733054084157555,0.7747295714624522,0.7721048767888233,1757.0
weighted avg,0.7732731489435455,0.7746158224245874,0.7720220553124513,1757.0
